Latitude,Longitude
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
37.22383964,-80.46136668
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
